Epoch,Total_Loss
1,0.004527690354734659
2,0.0028820589650422335
3,0.006567757111042738
4,0.0045384555123746395
5,0.002758513204753399
6,0.0038166227750480175
7,0.005178788211196661
8,0.0037827070336788893
9,0.0028348295018076897
10,0.0037138587795197964
11,0.0054395077750086784
12,0.0029504827689379454
13,0.005610057618469
14,0.003929856698960066
15,0.0018007189501076937
16,0.007041524164378643
17,0.00386486342176795
18,0.00171059335116297
19,0.0043310848996043205
20,0.004722905810922384
21,0.0017373979790136218
22,0.0015739776426926255
23,0.002477611182257533
24,0.001833002083003521
25,0.002007965696975589
26,0.0016600823728367686
27,0.00398620031774044
28,0.001323125557973981
29,0.0013935284223407507
30,0.0013694057706743479
31,0.0017525493167340755
32,0.00241714995354414
33,0.0017190678045153618
34,0.0013395145069807768
35,0.0031549648847430944
36,0.0016790346708148718
37,0.0010148208821192384
38,0.0015446464531123638
39,0.0015237778425216675
40,0.0015510271769016981
41,0.0013918649638071656
42,0.002760765142738819
43,0.0011656972346827388
44,0.0011042046826332808
45,0.0012180458288639784
46,0.0019673092756420374
47,0.0010951892472803593
48,0.0017891913885250688
49,0.0008120106649585068
50,0.0026511282194405794
51,0.0025579161010682583
52,0.0008572217193432152
53,0.0011458746157586575
54,0.0012531178072094917
55,0.0007148601580411196
56,0.0011527144815772772
57,0.0009053352405317128
58,0.0008763329824432731
59,0.0005121217109262943
60,0.0006420717691071332
61,0.0013041385682299733
62,0.0013060927158221602
63,0.0005561757716350257
64,0.0010201743571087718
65,0.001022153184749186
66,0.0009381944546476007
67,0.0005881012766622007
68,0.0013256057864055037
69,0.0006749383173882961
70,0.000504955358337611
71,0.0009355873917229474
72,0.0005167688359506428
73,0.0003153537691105157
74,0.000696481904014945
75,0.0006530804093927145
76,0.00034707150189206004
77,0.0005080863484181464
78,0.0007819068268872797
79,0.0006812537321820855
80,0.00038071253220550716
81,0.0005356428446248174
82,0.00045335490722209215
83,0.0006169334519654512
84,0.00035886067780666053
85,0.0004270830249879509
86,0.0003363346913829446
87,0.0003384992014616728
88,0.00048095418605953455
89,0.0003926202771253884
90,0.0003895302361343056
91,0.00021268625278025866
92,0.0006319142994470894
93,0.0002632372488733381
94,0.0005209956434555352
95,0.00037521717604249716
96,0.0007239147089421749
97,0.00038326982758007944
98,0.0003618458576966077
99,0.0008428076398558915
100,0.0002574695972725749
101,0.0006778360693715513
102,0.0004978837096132338
103,0.0004397669981699437
104,0.0004319477884564549
105,0.0003208145499229431
106,0.000796986510977149
107,0.0003669208090286702
108,0.0002840712550096214
109,0.00035339800524525344
110,0.0003900082956533879
111,0.00031155909528024495
112,0.0001933084276970476
113,0.0002754151064436883
114,0.00043555189040489495
115,0.00023074990895111114
116,0.00038632028736174107
117,0.0006004479946568608
118,0.00035760022001340985
119,0.00021218042820692062
120,0.0006432445952668786
121,0.0005612774402834475
122,0.00043535546865314245
123,0.0008267128141596913
124,0.0005332193104550242
125,0.00031792500521987677
126,0.0006252615712583065
127,0.00036295223981142044
128,0.00035750027745962143
129,0.00023569072072859854
130,0.0002992901427205652
131,0.00021683229715563357
132,0.0002515092201065272
133,0.0005146291805431247
134,0.0004509009886533022
135,0.0003321318363305181
136,0.00023543756105937064
137,0.00034587038680911064
138,0.0004010422562714666
139,0.00015142082702368498
140,0.0002609216026030481
141,0.0003439458378124982
142,0.0005042230477556586
143,0.0002961756254080683
144,0.00025373074458912015
145,0.00027966106426902115
146,0.00021803387789987028
147,0.0002772026928141713
148,0.0005586860934272408
149,0.00020421322551555932
150,0.00029217786504887044
151,0.0005328200641088188
152,0.00023879749642219394
153,0.0003933789557777345
154,0.00033715038443915546
155,0.0003305584832560271
156,0.00027862153365276754
157,0.0005698480526916683
158,0.00048129784408956766
159,0.0002974586095660925
160,0.000407031417125836
161,0.0006539541645906866
162,0.0003274701302871108
163,0.00023847400734666735
164,0.000590994895901531
165,0.00025957057368941605
166,0.00020722152839880437
167,0.00014161781291477382
168,0.00021187715174164623
169,0.0003615128807723522
170,0.00014325247320812196
171,0.00024023678270168602
172,0.00024631014093756676
173,0.00018664206436369568
174,0.00022007941151969135
175,0.00012762870755977929
176,0.00016870515537448227
177,0.00018054305110126734
178,0.00016552327724639326
179,0.0003158528415951878
180,0.00022828191868029535
181,0.00017490395111963153
182,0.0001153542471001856
183,0.0001843708596425131
184,0.00015386064478661865
185,0.0001449968694942072
186,0.00028380760340951383
187,0.00017485261196270585
188,0.00019207684090361
189,0.00015233078738674521
190,0.00015161979536060244
191,9.736978972796351e-05
192,0.00017565104644745588
193,0.00014951566117815673
194,0.00013049785047769547
195,0.0001717864506645128
196,0.0002141466538887471
197,0.00015586377412546426
198,0.0001583416888024658
199,8.769228588789701e-05
200,0.00011637798161245883
201,0.00012061487359460443
202,0.00014769718109164387
203,0.0002659895981196314
204,0.00014137101243250072
205,0.00014781707432121038
206,0.00018892819934990257
207,8.65776528371498e-05
208,8.688520028954372e-05
209,0.0001352183026028797
210,0.0002057099191006273
211,9.84721482382156e-05
212,9.243027307093143e-05
213,0.00012986804358661175
214,0.00012202630750834942
215,0.00010893695434788242
216,0.0001472988078603521
217,0.0001686771574895829
218,0.00016750780923757702
219,0.00016013061394914985
220,0.0001750313676893711
221,0.00012954146950505674
222,0.00010638350795488805
223,0.000227931363042444
224,0.00017440768715459853
225,0.00010133965406566858
226,0.00010661116539267823
227,0.0005107969627715647
228,0.00018147259834222496
229,0.0002489594626240432
230,0.00023776982561685145
231,0.0001899221388157457
232,0.00015491867088712752
233,0.00023793434957042336
234,0.00015058463031891733
235,0.00017499168461654335
236,0.00010207859304500744
237,0.00014236618881113827
238,8.187242201529443e-05
239,9.491499804425985e-05
240,0.00018039063434116542
241,0.00012925844930578023
242,0.00017403213132638484
243,0.00011019765224773437
244,0.00010074629244627431
245,0.00010325043695047498
246,0.00014815953909419477
247,0.0001279355783481151
248,0.0001674877421464771
249,6.293176556937397e-05
250,0.0002213238476542756
251,0.00011796766921179369
252,0.00010646130976965651
253,0.00011581472062971443
254,7.473418372683227e-05
255,0.00017214175022672862
256,0.0001830167166190222
257,9.151195990853012e-05
258,0.00012485080515034497
259,0.00010607200965750962
260,8.486137085128576e-05
261,0.00015281881496775895
262,0.00012734186020679772
263,8.559704292565584e-05
264,8.14979212009348e-05
265,0.00014446800923906267
266,0.00013325737381819636
267,7.880511839175597e-05
268,0.00010187333828071132
269,8.361602522199973e-05
270,0.00013120652874931693
271,9.298232180299237e-05
272,0.00011501882545417175
273,9.194593440042809e-05
274,9.305064304498956e-05
275,6.821649731136858e-05
276,0.00011984063894487917
277,0.00015270407311618328
278,8.075271762209013e-05
279,8.565108146285638e-05
280,0.00010066666436614469
281,0.00014267995720729232
282,8.513680950272828e-05
283,9.108399535762146e-05
284,0.00011678496230160818
285,6.781394040444866e-05
286,7.345728954533115e-05
287,9.861458966042846e-05
288,0.00010454899893375114
289,0.00015371314657386392
290,0.00012260537187103182
291,8.846158016240224e-05
292,0.00020029932784382254
293,0.0002141182339983061
294,7.939903298392892e-05
295,0.00011751233978429809
296,0.00017287753871642053
297,0.0001685965689830482
298,0.00012475962284952402
299,0.00013039038458373398
300,0.00010015887528425083
301,0.00017392060544807464
302,0.0002372969756834209
303,0.0001190337716252543
304,7.142359390854836e-05
