Step,Weight_initial,Weight_boundary,Weight_interior
1,1.0,1.0,1.0
2,0.9992629746612469,0.9977564670210808,1.0029805583176727
3,0.9982584348524501,0.9965508959842989,1.0051906691632517
4,0.998189316165411,0.9941641939041151,1.007646489930475
5,0.9968823324140469,0.9901936321384608,1.0129240354474938
6,1.0001869671915748,0.9891355178481298,1.0106775149602971
7,0.9990511095427659,0.9876069438310644,1.013341946626172
8,0.997705362484747,0.9851423446471415,1.0171522928681138
9,0.9978074604919258,0.9823180299973001,1.0198745095107764
10,0.9980638199560311,0.9811828201802775,1.020753359863694
11,0.9970764294856305,0.9783737891474326,1.0245497813669395
12,0.9976567216561769,0.9769572532413403,1.0253860251024856
13,0.9970857670426184,0.9751215019206927,1.0277927310366923
14,0.9979749122406568,0.9735788360213161,1.0284462517380308
15,0.9972550069106145,0.972161174939857,1.0305838181495324
16,0.9950395205246865,0.9700780176947511,1.0348824617805663
17,0.9937180019780024,0.967347235139371,1.0389347628826302
18,0.9934788721158523,0.9666495237056199,1.0398716041785314
19,0.9946369266178038,0.9641752520132993,1.0411878213689008
20,0.9922984103132908,0.9620233682705511,1.045678221416162
21,0.9942859628538813,0.9606649827463106,1.0450490543998125
22,0.9940971475559202,0.9588041334585783,1.047098718985506
23,0.9947020126915684,0.9570764484941227,1.0482215388143135
24,0.9932499855642124,0.9558965448800386,1.0508534695557532
25,0.992254891459728,0.9531006641651012,1.054644444375175
26,0.9922852945110381,0.9527302668395483,1.054984438649418
27,0.9916820572369436,0.9510824605781787,1.0572354821848824
28,0.990646930437872,0.9485487871019241,1.0608042824602086
29,0.9913594238526888,0.9477057631229648,1.0609348130243512
30,0.9938611948916892,0.9457411109859392,1.060397694122377
31,0.995060695741202,0.9448166634940295,1.0601226407647741
32,0.9938304681637435,0.9429813231199625,1.0631882087162998
33,0.9939582998698345,0.941418203833171,1.0646234962970005
34,0.9925279587384134,0.9402837769048796,1.0671882643567134
35,0.9949488950170527,0.9397142477680128,1.065336857214941
36,0.9935005096912517,0.9377104958980268,1.068788994410728
37,0.9948429511667992,0.9366607813357561,1.0684962674974514
38,0.9925632669826464,0.9338076850809326,1.0736290479364283
39,0.9936217500771652,0.9341250063959594,1.0722532435268828
40,0.9908667363418344,0.9316473779403825,1.0774858857177902
41,0.9912274693349138,0.9312243131468965,1.0775482175181967
42,0.990099781680532,0.9290230996149291,1.0808771187045458
43,0.9875081547678661,0.926189471284925,1.0863023739472162
44,0.9889890738881552,0.9257264377500372,1.0852844883618151
45,0.9895478475946408,0.9249228819981216,1.0855292704072452
46,0.9888451866921933,0.9225097585092068,1.088645054798608
47,0.9905799850747483,0.9204926191195072,1.0889273958057528
48,0.9896277893494393,0.9189766984421079,1.0913955122084613
49,0.9902856732540405,0.9180568746605613,1.091657452085407
50,0.9900078556569932,0.9166781153140027,1.0933140290290133
51,0.9906340005264759,0.9150597838899674,1.0943062155835666
52,0.9880044071626014,0.9127654223012285,1.0992301705361798
53,0.9879063438767496,0.9104749120583615,1.1016187440648988
54,0.9884342967040097,0.9095729523911562,1.101992750904844
55,0.9907716849692586,0.9089232369230049,1.1003050781077464
