Step,Total_Cost
1,0.016133906264308842
2,0.01859130672936151
3,0.013560697944406324
4,0.028938043157196208
5,0.05393284976508356
6,0.003156908920570455
7,0.002245196879348001
8,0.008314476161689089
9,0.017802531724215868
10,0.011390549150836066
11,0.0369761091273727
12,0.01827796348007402
13,0.02327545334171401
14,0.002654569664601707
15,0.0019924562638420776
16,0.013410133666203854
17,0.028232185672957714
18,0.0047234381589091965
19,0.0036688056111101076
20,0.030291976480415823
21,0.0017286829311989268
22,0.002316381949269389
23,0.0048450104354364615
24,0.0026851046419777546
25,0.04499948532303039
26,0.0006365832279864582
27,0.00728800949344187
28,0.01772570291165817
29,0.0024664739577617573
30,0.004274295722104736
31,0.0021198716700374116
32,0.01596277112433924
33,0.020883695723365518
34,0.030941805215967413
35,0.0025011576854027996
36,0.02672338207520786
37,0.0022413043173411355
38,0.030266322807717447
39,0.002583419188087104
40,0.047494118555916606
41,0.002139087583221724
42,0.00531370073999666
43,0.047822761772836446
44,0.006637712005632989
45,0.004241896318122156
46,0.013714388538278728
47,0.005073737857249264
48,0.022516380215115404
49,0.0061866614843073976
50,0.006310589714678285
51,0.0035040661472691683
52,0.03676686739212122
53,0.013608823927474709
54,0.010267310757793875
55,0.004246966253307724
56,0.027160832083384105
57,0.006785250665476655
58,0.0035654061799375095
59,0.0197820767898825
60,0.014483456413131111
61,0.02968572338270694
62,0.051721841677213845
63,0.006005755885014514
64,0.004748095429775257
65,0.0022773846112606085
66,0.008436231185655809
67,0.008006246964126369
68,0.002818900513882394
69,0.010096079912342373
70,0.0031021944421489567
71,0.009042622495033278
72,0.044016662492161254
73,0.0028811424951365986
74,0.04815960478810598
75,0.010915510005710304
76,0.012514241765002208
77,0.00945590778770582
78,0.04998330732175296
79,0.001371305484775588
80,0.011554910725770046
81,0.0014355385826136887
82,0.0020824964881509403
83,0.014315424276094337
84,0.003482361294742735
85,0.021055268039676105
86,0.0025941236813097003
87,0.01321074942481684
88,0.008742067148315087
89,0.019315604166546353
90,0.008286612673608704
91,0.009622206606588846
92,0.05001142436649895
93,0.0020096227998960096
94,0.013082271265395637
95,0.0019720170840863125
96,0.017318660725429074
97,0.0320655165306544
98,0.029700104371118474
99,0.003242477958354476
100,0.003911038106125155
101,0.0029154246140483914
102,0.021048040248975136
103,0.003199043689031912
104,0.01866130503074415
105,0.01635451003446003
106,0.030319676284287996
107,0.008128528428673964
108,0.0016117872842527504
109,0.002213925334702263
110,0.004033509638427933
111,0.005138752089363147
112,0.00785927078177852
113,0.0027504902630384773
114,0.0011935673525557229
115,0.002912569319968037
116,0.01546360546305555
117,0.03635386709549792
118,0.021448444120661787
119,0.0022905554781844253
120,0.006968005853629475
121,0.00964526057142349
122,0.03991699097444185
123,0.0018147517882251365
124,0.01070128504104058
125,0.014157493015335847
126,0.002181969106837662
127,0.003001852973396295
128,0.0028930151655914282
129,0.0015707830825372937
130,0.004401823085235302
131,0.008367221415837725
132,0.04833712263804409
133,0.0190050351545806
134,0.002786746495004549
135,0.002420198769799843
136,0.03122661214330915
137,0.002022799288054946
138,0.014933738764103071
139,0.003095509233958452
140,0.0035976178240298266
141,0.007417888712004852
142,0.004167803904267756
143,0.018345297234086767
144,0.032954095908083736
145,0.009112075052576215
146,0.010774491466714817
147,0.011362864796340357
148,0.006580929174273271
149,0.003399805830442245
150,0.014946723655356535
151,0.006952623812600885
152,0.015172253094034438
153,0.012713084442987244
154,0.02523154952164161
155,0.027636405467336103
156,0.028968468869597953
157,0.009497284228430195
158,0.0012641730019117055
159,0.044474719164708264
160,0.027859615720446096
161,0.0024325425788333044
162,0.0018242597564308701
163,0.005233230519188815
164,0.00341024803454016
165,0.0032755513213265624
166,0.014014494671910975
167,0.00829287536225957
168,0.02368785444784247
169,0.03264492941370949
170,0.025585215370781372
171,0.02234895793519108
172,0.019152489287622716
173,0.013908782322484008
174,0.014198205042260013
175,0.004544237503036395
176,0.004725432465795437
177,0.030216859990381532
178,0.012197708966845465
179,0.020874343182219125
180,0.004905060196106993
181,0.010923104994278832
182,0.012040389313545808
183,0.017596942927529932
184,0.011970035917714337
185,0.028894543352511712
186,0.006726211365987044
187,0.006904049231669799
188,0.0026113833597963903
189,0.001972150536433137
190,0.022988243212645126
191,0.011608532786056475
192,0.01783978652050283
193,0.012122197245152252
194,0.02205582079383905
195,0.025851428365152113
196,0.051124954874772914
197,0.006430716737186792
198,0.013803579040904325
199,0.021132693208996852
200,0.02964734698027886
