Generation,Initial_Min,Peak_Min,Boundary_Min,PDE_Min,Trace_Min,Combined
0,0.9543170338209095,1.7952747356323477e-06,3.39714878948733e-08,0.0,0.0002559877036790619,0.9545748507708121
20,0.0872208436565526,0.000729055844222427,0.0,0.0,0.00025469890922824524,0.08820459841000326
40,0.0872208436565526,0.000729055844222427,0.0,0.0,0.00025469890922824524,0.08820459841000326
60,0.0872208436565526,0.000729055844222427,0.0,0.0,0.00025469890922824524,0.08820459841000326
80,0.0872208436565526,0.000729055844222427,0.0,0.0,0.00025469890922824524,0.08820459841000326
