Generation,Individual_ID,Initial_Loss,Peak_Loss,Boundary_Loss,PDE_Loss,Trace_Loss
0,0,2.1893777689536207,0.010878701774773757,0.0,0.0,0.00025715582119295084
0,1,1.469435411691071,5.784513982682641e-06,1.2638932881194006e-07,0.0,0.0002557482358995312
0,2,0.18012628159286892,0.006265043020407045,5.4474022536223434e-08,0.0,0.00025812442932020535
0,3,0.8456898464081197,0.013974263871866172,3.736799760859329e-08,0.0,0.00025622068722743293
0,4,0.08760599224238015,0.03691016819630457,9.702002476631281e-08,0.0,0.00025547431933963823
0,5,0.5669759089284127,9.280648174712307e-08,1.8037759441946595e-07,0.0,0.00025809881840130013
0,6,0.5296687732321368,0.019869959190683472,9.447524493217322e-08,0.0,0.0002541440354879308
0,7,0.10091202231877658,0.020192753709346492,9.931715800125269e-08,0.0,0.00025614607306566914
0,8,0.07056884105351197,0.002313107702548027,1.0971153664154418e-07,0.0,0.00026030734763155385
0,9,0.1417829457309373,0.0075464986244531285,0.0,0.0,0.0002572543370066211
0,10,3.586538053669443,0.013313306230161323,3.7522557061364545e-08,0.0,0.00025547465056328494
0,11,0.9040267799598246,0.001125307696442855,5.514692991336751e-08,0.0,0.00025717388430300514
0,12,8.519204271102325,0.01261029436214582,5.0052917436217946e-08,0.0,0.00025521421916982294
0,13,0.09404361722579978,0.011123754597082883,5.134550398486766e-08,0.0,0.00025915069415960115
0,14,0.08233679587019081,0.0008548541430587495,6.216651898834485e-08,0.0,0.00025751716590619495
0,15,10.06937864880782,0.00025675480782709026,7.81020587549164e-08,0.0,0.0002546526384479153
0,16,0.07976532497147472,0.025127848108763753,6.163128046391437e-08,0.0,0.000258249222729405
0,17,0.7952606992779601,3.074260167216253e-05,5.083948694435931e-08,0.0,0.0002608657251054503
0,18,0.36907197121894564,0.002447373141743867,0.0,0.0,0.00025931283127762154
0,19,109.9000662934146,0.0009267221980853364,6.04541285623109e-08,0.0,0.0002546042429480383
0,20,1.195546906894456,0.011274025027044773,5.3037869219502596e-08,0.0,0.00025539410242574984
0,21,1.2205060165135257,0.0002795856390915806,0.0,0.0,0.00025921164564207265
0,22,0.09406866855088296,0.030799330432319586,7.01914529322137e-08,0.0,0.0002558667981048143
0,23,10.819256884952733,0.005345043593700323,0.0,0.0,0.00025742820057944756
0,24,0.24410322068779153,0.006730882452043099,6.07928594335607e-08,0.0,0.00025771494567860013
0,25,0.7327694520138627,5.951385903974109e-05,7.082060022161527e-08,0.0,0.0002572970990980416
0,26,0.11437908858933162,0.00016435547469998216,8.564436049570849e-08,0.0,0.0002553632552586169
0,27,0.07488594348240706,0.006584258492682041,7.322118489847766e-08,0.0,0.0002570627033556962
0,28,0.9543170338209095,1.7952747356323477e-06,3.39714878948733e-08,0.0,0.0002559877036790619
0,29,24.569023046727015,7.50082455324882e-06,8.906568271015144e-08,0.0,0.0002557398113929416
20,0,0.5669759089284127,9.280648174712307e-08,1.8037759441946595e-07,0.0,0.00025809881840130013
20,1,0.9543170338209095,1.7952747356323477e-06,3.39714878948733e-08,0.0,0.0002559877036790619
20,2,0.38497368160964707,3.244394246900521e-09,1.2578141484514176e-07,0.0,0.00025940148149955884
20,3,0.521180882666425,0.025150621651296175,1.0368945414079833e-07,0.0,0.00025402490085287075
20,4,0.07152723786621998,0.0012784467651088289,1.5558711159561312e-07,0.0,0.0002560079088478813
20,5,3.61991965137405,0.0006525734681299598,0.0,0.0,0.0002559735871032949
20,6,35.31541564777467,0.005916434726935098,7.065303915455056e-08,0.0,0.00025364813965143243
20,7,0.07369194674899678,0.004006247740736643,6.00775417085246e-08,0.0,0.00025662504036250486
20,8,0.09976000151175089,1.693033546098866e-05,6.999296986339067e-08,0.0,0.0002577878088734927
20,9,0.8180416682079745,0.025990108016819377,6.803243392320455e-08,0.0,0.0002534679276939047
20,10,0.07686461836998212,0.0005612535763354013,4.790449570053451e-08,0.0,0.00025713318377924003
20,11,0.10733335874815639,0.0007594634279830186,9.295465467549998e-08,0.0,0.0002541534315369119
20,12,0.14805317589016506,3.9349420760979236e-08,6.8408121552391e-08,0.0,0.0002588904458487197
20,13,9.271826161237863,0.004216751507519061,6.609054664142021e-08,0.0,0.0002538134841355251
20,14,0.14259242956011667,0.005860138611280112,8.360652724004813e-08,0.0,0.0002544394015441279
20,15,0.44458915998231385,1.4810840447911335e-06,9.00203659332963e-08,0.0,0.0002584743179937099
20,16,0.06879378340345892,9.281004615739217e-07,5.918962134034752e-08,0.0,0.0002593947204855759
20,17,0.10038085814490545,5.765021046574425e-06,5.5222956560780165e-08,0.0,0.00025869830670256983
20,18,0.08209130228499684,6.624147273893306e-05,6.489031853314113e-08,0.0,0.00025644470291982346
20,19,0.563887135551778,0.0017309142253144534,8.806096946251558e-08,0.0,0.00025385130814700366
20,20,0.07415028903216135,0.002411535402474493,5.5959599940765786e-08,0.0,0.00025729780943864976
20,21,0.07257136689727033,0.011649424209761339,0.0,0.0,0.0002554941265047594
20,22,0.25326942133139674,4.3004459712013963e-05,1.962923028798039e-08,0.0,0.0002564747041542284
20,23,0.08446618738380675,5.779470580753944e-05,4.3523185319782157e-08,0.0,0.000255908087858484
20,24,0.08238263501609978,0.02120182736254021,9.473126454607066e-08,0.0,0.0002546713287630017
20,25,0.8596750395492417,0.00013507951026743762,3.976420764110324e-08,0.0,0.0002551302123424242
20,26,0.08370130969802807,5.392331118164158e-05,8.3333696983625e-08,0.0,0.00025451297861612453
20,27,0.0877411960073238,0.00016523228939396042,0.0,0.0,0.0002561250106347825
20,28,0.0611244623747879,0.0050839119788672815,1.0020778087507601e-07,0.0,0.0002567080236513749
20,29,0.10398848973434267,0.0021080577744357243,9.051455134190844e-08,0.0,0.00025427710433465384
20,30,1.1256491855411603,1.1434601001422835e-09,1.4667702233667652e-07,0.0,0.00025811190959524705
20,31,0.26898511355573756,3.5769815916278035e-06,4.7763412917819525e-08,0.0,0.0002540925517567841
20,32,0.8987076025352527,0.022538578620256728,8.024786409343157e-08,0.0,0.00025317287583625467
20,33,0.22633782719996437,5.305206868956659e-06,1.0846590424981653e-07,0.0,0.00025716306091574947
20,34,5.46314935779203,8.088591080187006e-05,0.0,0.0,0.00025475632065129634
20,35,0.06564573710811335,0.00011555123938684983,9.962291258775736e-08,0.0,0.0002588321400317598
20,36,0.6680534963413536,9.13227500784901e-07,4.921439499711891e-08,0.0,0.0002584600967996162
20,37,0.0797357047540153,0.000280821694389704,3.9871535660895983e-08,0.0,0.0002591824752504236
20,38,0.07476657941910951,0.0008328330724834891,9.013732963469397e-08,0.0,0.00025617557645063016
20,39,0.06987898019087811,0.0013281768508341975,6.940422476636984e-08,0.0,0.00025549628946187127
20,40,0.06845846673901407,0.00982002218454993,9.026862636836515e-08,0.0,0.0002561414786913753
20,41,0.0670140268912559,0.01222731996472011,4.485794057757382e-08,0.0,0.0002576408785265829
20,42,0.06250544317996733,0.0073154976990345115,6.210058451797798e-08,0.0,0.00025744674239733923
20,43,0.08426961296516279,0.006340844136691299,0.0,0.0,0.00025501854534515204
20,44,0.11679172732984894,0.03397797535570434,6.72216389241092e-08,0.0,0.0002545466818292183
20,45,0.07480324463850815,0.00022567189698036267,7.980661897149238e-08,0.0,0.0002591243831454702
20,46,0.08563482049666415,4.148142004484682e-05,6.545196783416663e-08,0.0,0.00025529419121928903
20,47,0.08102321572304697,0.00039483100926136685,8.020881097615649e-08,0.0,0.00025609650057208393
