Time,PINN_MSE,PINN_MAE,PINN_RMSE,PINN_RelL2,PINN_MaxAE,QPINN_MSE,QPINN_MAE,QPINN_RMSE,QPINN_RelL2,QPINN_MaxAE,PINN_Boundary_Error,QPINN_Boundary_Error,PINN_Energy,QPINN_Energy,Analytical_Energy
0.0,2.0099987333054886e-06,0.0009931156912449087,0.001417744241147002,0.05805650397681514,0.00383206178353096,7.2440117228025955e-06,0.00016801397284458853,0.0026914701786946472,0.11021547088524779,0.12393832985648867,2.7342818e-24,2.425834292513812e-22,0.003127229865640402,0.001942512496509801,0.0019689083837640736
0.05263157894736842,1.9593259885304403e-06,0.000980855072101557,0.0013997592609196912,0.0745782259097934,0.003770569010746072,3.532274316227205e-06,0.0001588843321686332,0.0018794345735425868,0.10013500186899423,0.0790630176773337,6.2306106e-18,1.2713296080699214e-24,0.0031127240508794785,0.001979186731959911,0.0019687030623430322
0.10526315789473684,1.9777789265563337e-06,0.0009842972657569677,0.0014063352824118202,0.09102736693813883,0.003750447405470314,3.2383166228047e-06,0.00017374976008425257,0.0017995323344704589,0.11647769360231423,0.055319077824279916,1.7018317e-14,1.371677796860747e-26,0.003116736887022853,0.0019870028641272267,0.001968701285158222
0.15789473684210525,2.0847618112462007e-06,0.0010118294933053763,0.0014438704274436127,0.10905900868510233,0.0038555112551426074,2.4253472307382077e-06,0.00017072716730075045,0.001557352635320019,0.11763059299014961,0.04617853562675525,2.3951433e-12,1.0112165485582069e-35,0.003148849355056882,0.0019560778069739188,0.0019687012417054935
0.21052631578947367,2.0608473319967055e-06,0.001005650913811279,0.0014355651611810262,0.12323456107828104,0.0038481114360223168,1.762281331030537e-06,0.00016273668833924912,0.001327509446682221,0.11395863344480102,0.03634760684754634,7.036547e-11,2.32987013509425e-36,0.003141643013805151,0.0019684861652237047,0.0019687012177766194
0.2631578947368421,2.083173156090604e-06,0.0010110191575898424,0.0014433201848829678,0.13820815655810245,0.0038374283538432363,1.6514525217178016e-06,0.0001764295724373632,0.0012850885268018703,0.12305635171149201,0.030320988349016587,8.177883e-10,6.305276265408197e-37,0.0031479038298130035,0.0020099188841668325,0.0019687009406017942
0.3157894736842105,2.0887421193980534e-06,0.0010123237009882515,0.00144524811689829,0.15224060266734443,0.003883221898697359,1.2500763532812374e-06,0.00016817999295617292,0.001118068134453906,0.11777587849602096,0.026419449009369267,5.2480726e-09,1.7682848026891204e-37,0.0031494239810854197,0.001979432884390154,0.0019686992431522067
0.3684210526315789,2.116146388577884e-06,0.001019369858921746,0.0014546980403430411,0.16676341559881255,0.003864367902629187,1.0571716929677119e-06,0.00017086421335554721,0.0010281885493272681,0.11786929631455978,0.018468994226704755,2.2508663e-08,4.2460178631679043e-38,0.003157634986564517,0.0019708580943603796,0.001968692371245036
0.42105263157894735,2.146338360613507e-06,0.0010266995699892444,0.0014650386891183137,0.18121312238322076,0.00390893308150124,7.910570418190883e-07,0.00016555129733529915,0.0008894138754365643,0.11001311204676638,0.017353755062497533,7.25377e-08,1.1545491344032012e-38,0.0031661633402109146,0.001971337225646529,0.0019686715853952995
0.47368421052631576,2.1574218081669237e-06,0.0010291991989174662,0.0014688164651061493,0.19466172065049636,0.003931084075522562,7.671010052649708e-07,0.000169690784847272,0.0008758430254703013,0.11607516283218142,0.017367527886204825,1.894868e-07,2.8610531802070275e-39,0.003169027855619788,0.0019611122423450096,0.0019686207279927233
