Generation,Individual_ID,Initial_Loss,Peak_Loss,Boundary_Loss,Data_Loss,PDE_Loss
0,0,0.0757464369699247,0.002378493465588893,0.0,0.270290764741241,0.0
0,1,0.09319844778652817,8.425765917594868e-05,0.0,0.0346882293578818,0.0
0,2,0.31434405741135246,7.310950811873986e-06,0.0,4.792292527407944,0.0
0,3,3.382584588124591,2.167992781188911e-05,0.0,2.918318243749796,0.0
0,4,3.3763643460479464,3.2846624923031404e-05,0.0,3.109796963221048,0.0
1,0,0.0757464369699247,0.002378493465588893,0.0,0.270290764741241,0.0
1,1,0.09319844778652817,8.425765917594868e-05,0.0,0.0346882293578818,0.0
1,2,0.31434405741135246,7.310950811873986e-06,0.0,4.792292527407944,0.0
1,3,3.382584588124591,2.167992781188911e-05,0.0,2.918318243749796,0.0
1,4,3.3763643460479464,3.2846624923031404e-05,0.0,3.109796963221048,0.0
1,5,0.06349255468994028,0.006472475331477294,0.0,0.23748856450090985,0.0
1,6,0.07273026474693293,0.03687353599134473,0.0,0.04772224940185786,0.0
2,0,0.0757464369699247,0.002378493465588893,0.0,0.270290764741241,0.0
2,1,0.09319844778652817,8.425765917594868e-05,0.0,0.0346882293578818,0.0
2,2,0.08670669567404694,0.004565625741335781,0.0,0.03587927824135888,0.0
2,3,0.04091088497501105,0.004787519882842115,0.0,0.025746106589970858,0.0
2,4,0.08462715543827468,0.003126041474278124,0.0,0.16862358887598078,0.0
2,5,0.15779491020878106,6.363383956943371e-06,0.0,0.05346358075400578,0.0
2,6,0.1115605752647261,2.3808135718076815e-05,0.0,0.3373972508586687,0.0
2,7,5.029470681378307,8.489980328243507e-07,0.0,0.18350208951901953,0.0
3,0,0.04091088497501105,0.004787519882842115,0.0,0.025746106589970858,0.0
3,1,0.15779491020878106,6.363383956943371e-06,0.0,0.05346358075400578,0.0
3,2,5.029470681378307,8.489980328243507e-07,0.0,0.18350208951901953,0.0
3,3,0.06491737672906224,0.0004918420466570791,0.0,0.03836075134589797,0.0
3,4,0.0675409082676246,1.2170402487572461e-05,0.0,0.03857467733691552,0.0
3,5,0.05871247859128352,0.003602210265813627,0.0,0.027967076824226694,0.0
3,6,0.07776611065636614,3.38310594272583e-05,0.0,0.03467896952719573,0.0
3,7,0.15839362553737518,0.023777235010973622,0.0,0.020323340139997165,0.0
3,8,0.060451830847303586,0.0030953865194833815,0.0,0.026384601765597433,0.0
3,9,0.05483916138888529,0.02447473865026474,0.0,0.019745609132285638,0.0
4,0,0.04091088497501105,0.004787519882842115,0.0,0.025746106589970858,0.0
4,1,0.15779491020878106,6.363383956943371e-06,0.0,0.05346358075400578,0.0
4,2,5.029470681378307,8.489980328243507e-07,0.0,0.18350208951901953,0.0
4,3,0.0675409082676246,1.2170402487572461e-05,0.0,0.03857467733691552,0.0
