generation,initial,peak,boundary,pde,combined
0,0.08273234963417053,0.08273234963417053,3.993399510268496e-15,1000000.0,1000000.811638087
20,0.08052016794681549,0.08052016794681549,3.993399510268496e-15,514.3258666992188,515.1339739710093
40,0.08141516894102097,0.08141516894102097,3.993399510268496e-15,92.29593658447266,93.10348593443632
60,0.08141516894102097,0.08141516894102097,3.993399510268496e-15,92.29593658447266,93.10348593443632
80,0.08141516894102097,0.08141516894102097,3.993399510268496e-15,92.29593658447266,93.10348593443632
100,0.08141516894102097,0.08141516894102097,3.993399510268496e-15,92.29593658447266,93.10348593443632
120,0.08141516894102097,0.08141516894102097,3.993399510268496e-15,92.29593658447266,93.10348593443632
140,0.08141516894102097,0.08141516894102097,3.993399510268496e-15,92.29593658447266,93.10348593443632
160,0.08141516894102097,0.08141516894102097,3.993399510268496e-15,92.29593658447266,93.10348593443632
180,0.08141516894102097,0.08141516894102097,3.993399510268496e-15,92.29593658447266,93.10348593443632
200,0.08141516894102097,0.08141516894102097,3.993399510268496e-15,92.29593658447266,93.10348593443632
220,0.08141516894102097,0.08141516894102097,3.993399510268496e-15,92.29593658447266,93.10348593443632
240,0.08141516894102097,0.08141516894102097,3.993399510268496e-15,92.29593658447266,93.10348593443632
260,0.08141516894102097,0.08141516894102097,3.993399510268496e-15,92.29593658447266,93.10348593443632
280,0.08141516894102097,0.08141516894102097,3.993399510268496e-15,92.29593658447266,93.10348593443632
300,0.08097438514232635,0.08097438514232635,3.993399510268496e-15,61.057228088378906,61.86175607144833
320,0.08097438514232635,0.08097438514232635,3.993399510268496e-15,61.057228088378906,61.86175607144833
340,0.08097438514232635,0.08097438514232635,3.993399510268496e-15,61.057228088378906,61.86175607144833
360,0.08097438514232635,0.08097438514232635,3.993399510268496e-15,61.057228088378906,61.86175607144833
380,0.08097438514232635,0.08097438514232635,3.993399510268496e-15,61.057228088378906,61.86175607144833
400,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
420,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
440,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
460,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
480,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
500,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
520,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
540,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
560,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
580,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
600,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
620,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
640,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
660,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
680,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
700,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
720,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
740,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
760,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
780,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
800,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
820,0.08044274896383286,0.08044274896383286,3.993399510268496e-15,49.509918212890625,50.31455018371344
840,0.080319344997406,0.080319344997406,3.993399510268496e-15,32.821319580078125,33.625128269195564
860,0.080319344997406,0.080319344997406,3.993399510268496e-15,32.821319580078125,33.625128269195564
880,0.080319344997406,0.080319344997406,3.993399510268496e-15,32.821319580078125,33.625128269195564
900,0.080319344997406,0.080319344997406,3.993399510268496e-15,32.821319580078125,33.625128269195564
920,0.080319344997406,0.080319344997406,3.993399510268496e-15,32.821319580078125,33.625128269195564
940,0.080319344997406,0.080319344997406,3.993399510268496e-15,32.821319580078125,33.625128269195564
960,0.080319344997406,0.080319344997406,3.993399510268496e-15,32.821319580078125,33.625128269195564
980,0.080319344997406,0.080319344997406,3.993399510268496e-15,32.821319580078125,33.625128269195564
